,name,author,link,lyrics,chords
0,The Class Of 57,The Statler Brothers,https://tabs.ultimate-guitar.com/tab/the-statler-brothers/the-class-of-57-chords-636058,"Tommy's selling used cars, Nancy's fixing hair,
Harvey runs a grocery store and Margaret doesn't care.
Jerry drives a truck for Sears and Charlotte's on the make,
And Paul sells life insurance and part time real estate.
Helen is a hostess, Frank works at the mill,
Janet teaches grade school and probably always will.
Bob works for the city and Jack's in lab research,
And Peggy plays organ at the Presbyterian Church.
And the class of '57 had its dreams,
Oh, we all thought we'd change the world with our great works and deeds.
Or maybe we just thought the world would change to fit our needs,
The class of '57 had its dreams.
Betty runs a trailer park, Jan sells Tupperware,
Randy's on an insane ward, Mary's on welfare.
Charlie took a job with Ford, Joe took Freddie's wife,
Charlotte took a millionaire, and Freddie took his life.
John is big in cattle, Ray is deep in debt,
Where Mavis finally wound up is anybody's bet.
Linda married Sonny, Brenda married me,
And the class of all of us is just a part of history.
","['E', 'G#m', 'F#m', 'B7', 'A', 'F#m', 'E', 'G#m', 'F#m', 'B7', 'A', 'B7', 'E', 'E', 'G#m', 'F#m', 'B7', 'A', 'F#m', 'E', 'G#m', 'F#m', 'B7', 'A', 'B7', 'E', 'A', 'E', 'G#m', 'F#m', 'B7', 'A', 'E', 'G#m', 'A', 'E', 'F', 'F', 'Am', 'Gm', 'C7', 'Bb', 'Gm', 'F', 'Am', 'Gm', 'C7', 'Bb', 'C7', 'F', 'F', 'Am', 'Gm', 'C7', 'Bb', 'Gm', 'F', 'Am', 'Gm', 'C7', 'Bb', 'C7', 'F']"
1,Ill Go To My Grave Loving You,The Statler Brothers,https://tabs.ultimate-guitar.com/tab/the-statler-brothers/ill-go-to-my-grave-loving-you-chords-636054,"I'll go I'll go to my grave
To my grave lovin you lovin you
I'd give, I'd give all I've saved
I've saved lovin you lovin you
and should and should I live again
Even then it wont end
For I'll go Ill go to my grave
To my grave lovin you lovin you
Oh to take his place forever
Theres nothin I wouldnt give
I'd prove to you daily what a man really is
","['A', 'D', 'A', 'A', 'D', 'E', 'A', 'D', 'B7', 'A', 'E', 'D', 'A', 'D', 'A', 'B7', 'E', 'E7']"
2,Pledging My Love,Roy Orbison,https://tabs.ultimate-guitar.com/tab/roy-orbison/pledging-my-love-chords-2244999,"Forever my darling my love will be true
always and forever I'll love only you
Promise me darling your love in return
May this fire in my soul forever burn
My heart's at your command dear,
to keep, love, and to hold
making you happy is my desire dear
Keeping you is my goal
I'll forever love you the rest of my days
I'll never part from you and your loving ways
(shoop, doo-bee-doo)
(shoop, doo-bee-doo)
(shoop, doo-bee-doo)
(... Wawawa-OOO)
My heart's at your command, dear
to keep, love, and to hold
making you happy is my desire dear
Keeping you is my goal
I'll forever love you, the rest of my days
I'll never part from you and your loving ways
I'll never part from you and your loving ways (... pledging my love)
","['Am', 'D', 'G', 'Am', 'D', 'G', 'C', 'Bm', 'A', 'A7', 'D', 'G', 'Am', 'D', 'G', 'G', 'Am', 'D', 'G', 'C', 'Bm', 'A', 'A7', 'D', 'D+', 'C', 'Dm', 'G', 'C', 'Dm', 'G', 'C', 'F', 'C']"
3,Footprints In The Snow,Doc Watson,https://tabs.ultimate-guitar.com/tab/doc-watson/footprints-in-the-snow-chords-1852291,"Some folks like the summertime when they can stroll about
Walking through the meadows green is pleasant no doubt
But just give me the wintertime when  snow is on the ground
For I found her when the snow was on the ground
I traced her little footprints in the snow, in the snow
Found her little footprints in the snow, Lord
I bless that happy day when Nellie lost her way
For I found her when the snow was on the ground
Now she's up in heaven  with the angel band
Some day I'm going to join her in that happy land
But every time the snow falls it brings back memories
For I found her when the snow was on the ground
I traced her little footprints in the snow, in the snow
Found her little footprints in the snow, Lord
I bless that happy day when Nellie lost her way
For I found her when the snow was on the ground
","['C', 'C7', 'F', 'G', 'G7', 'C', 'C', 'C7', 'F', 'G7', 'C', 'C', 'G', 'G7', 'G7', 'C', 'C', 'C7', 'F', 'G', 'G7', 'C', 'C', 'C7', 'F', 'G', 'G7', 'C', 'C', 'C7', 'F', 'G', 'G7', 'C', 'C', 'G', 'G7', 'G7', 'C', 'C', 'C7', 'F', 'G', 'G7', 'C']"
4,Way Downtown,Doc Watson,https://tabs.ultimate-guitar.com/tab/doc-watson/way-downtown-chords-1806469,"Way downtown just fooling around
They took me to the jail
Oh me and it's oh my
No one to go my bail
It was late last night when Willie came home
I heard him a-rapping on the door
He's a slipping and a sliding with them new shoes on
Momma said Willie don't you rap no more
Way downtown just fooling around
They took me to the jail
Oh me and it's oh my
No one to go my bail
I wish I was over at my sweet Sally's house
Sitting in that big armed chair
One arm around this old guitar
And the other one around my dear
Way downtown just fooling around
They took me to the jail
Oh me and it's oh my
No one to go my bail
Now it’s one old shirt is bout all that I got
And a dollar is all that I crave
I brought nothing with me into this old world
Ain't gonna take nothing to my grave
Way downtown just fooling around
They took me to the jail
Oh me and it's oh my
No one to go my bail
","['F', 'C', 'G7', 'C', 'F', 'C', 'G7', 'C', 'F', 'C', 'G7', 'C', 'F', 'C', 'G7', 'C', 'F', 'C', 'G7', 'C', 'F', 'C', 'G7', 'C', 'F', 'C', 'G7', 'C', 'F', 'C', 'G7', 'C', 'F', 'C', 'G7', 'C', 'F', 'C', 'G7', 'C', 'F', 'C', 'G7', 'C', 'F', 'C', 'G7', 'C', 'F', 'C', 'G7', 'C', 'F', 'C', 'G7', 'C']"
5,Beautiful Star Of Bethlehem,Emmylou Harris,https://tabs.ultimate-guitar.com/tab/emmylou-harris/beautiful-star-of-bethlehem-chords-1446929,"O, beautiful Star of Bethlehem
Shining afar through shadows dim
Giving the light to those who long have gone
Guiding the Wise Men on their way
Unto the place where Jesus lay
Beautiful Star of Bethlehem, shine on
Oh Beautiful Star  (Beautiful, Beautiful Star)
Of Bethlehem (Star of Bethlehem)
Shine upon us until the glory dawns
Give us a lamp to light the way
Unto the land of perfect day
Beautiful Star of Bethlehem, shine on
Beautiful Star the hope of light
Guiding the pilgrims through the night
Over the mountains till the break of dawn
Into the light of perfect day
It will give out a lovely ray
Oh Beautiful Star of Bethlehem, shine on
Oh Beautiful Star the hope of rest
For the redeemed, the good and the blessed
Yonder in glory when the crown is won
Jesus is now the star divine
Brighter and brighter He will shine
Oh Beautiful Star of Bethlehem, shine on
Oh Beautiful Star  (Beautiful, Beautiful Star)
Of Bethlehem (Star of Bethlehem)
Shine upon us until the glory dawns
Give us a lamp to light the way
Unto the land of perfect day
Beautiful Star of Bethlehem, shine on
","['C/G', 'C', 'C7', 'F', 'C', 'C', 'D7', 'G', 'D7', 'G', 'C', 'C7', 'F', 'C', 'C', 'D7', 'G', 'C', 'F', 'C', 'C', 'G', 'C', 'C', 'C', 'F', 'C', 'C', 'D7', 'G', 'D7', 'G', 'C', 'C7', 'F', 'C', 'C', 'D7', 'G', 'C', 'F', 'C', 'C', 'C7', 'F', 'C', 'C', 'D7', 'G', 'D7', 'G', 'C', 'C7', 'F', 'C', 'C', 'D7', 'G', 'C', 'F', 'C', 'C', 'C7', 'F', 'C', 'C', 'D7', 'G', 'D7', 'G', 'C', 'C7', 'F', 'C', 'C', 'D7', 'G', 'C', 'F', 'C', 'C', 'G', 'C', 'C', 'C', 'F', 'C', 'C', 'D7', 'G', 'D7', 'G', 'C', 'C7', 'F', 'C', 'C', 'D7', 'G', 'C', 'F', 'C']"
6,Light Of The Stable,Emmylou Harris,https://tabs.ultimate-guitar.com/tab/emmylou-harris/light-of-the-stable-chords-2552385,"Hail, Hail to the newborn king
Let our voices sing him our praises
Hail, Hail to the guiding light
That brought us to night to our sav/ ior
Halle----------------
Halle----------------
Halle----------------
Halle-------------aaaaaahhhhhhhhhh
Come now let it shine so bright
To the knowing light of the stable
Feel close to the child so dear
Cast a/side your fear and be thank/ful
Hail, Hail to the newborn king
Let our voices sing him our praises
Hail, Hail to the guiding light
That brought us to/night to our sav/ior
Halle----------------
Halle----------------
Halle----------------
Halle-------------aaaaaahhhhhhhhhh
Hail, Hail to the newborn king
Let our voices sing him our praises
Hail, Hail to the guiding light
That brought us to/night to our sav/ior
Halle----------------
Halle----------------
Halle----------------
Halle-------------aaaaaahhhhhhhhhh
lelu jaaaaaahhhhhhhhhh
","['Ab', 'Db', 'Ab', 'Db', 'Ab', 'Eb', 'Ab', 'Db', 'Ab', 'Eb/Bb', 'Ab', 'Eb', 'Ab', 'Db', 'Ab/C', 'Eb/Bb', 'Ab', 'Db', 'Ab/C', 'Eb/Bb', 'Ab', 'Db', 'Ab/C', 'Eb/Bb', 'Ab', 'Db', 'Ab/C', 'Eb/Bb', 'Gb', 'Ab', 'Db', 'Ab', 'Db', 'Ab', 'Eb', 'Ab', 'Db', 'Ab', 'Db', 'Ab', 'Eb', 'Ab', 'Db', 'Gb', 'Db', 'Gb', 'Db', 'Ab', 'Db', 'Gb', 'Db', 'Gb', 'Db', 'Ab', 'Db', 'Gb', 'Db', 'Ab', 'Db', 'Ab', 'Db', 'Ab', 'Db', 'Ab', 'Db', 'Ab', 'Db', 'Gb', 'Db', 'Ab', 'Cb', 'Eb', 'Ab/Eb', 'Eb', 'Ab/Eb', 'Eb', 'Bb', 'Eb', 'Ab/Eb', 'Eb', 'Ab/Eb', 'Eb', 'Bb', 'Eb', 'Ab', 'Eb', 'Bb', 'Eb', 'Ab', 'Eb', 'Bb', 'Eb', 'Ab', 'Eb', 'Bb', 'Eb', 'Ab', 'Eb', 'Bb', 'Db', 'Eb', 'Db', 'Ab', 'Eb']"
7,Mammas Dont Let Your Babies Grow Up To Be Cowboys (ver 2),Waylon Jennings,https://tabs.ultimate-guitar.com/tab/waylon-jennings/mammas-dont-let-your-babies-grow-up-to-be-cowboys-chords-2808833,"Cowboys ain't easy to love
And they're harder to hold
They'd rather give you a song
Than diamonds or gold
Lonestar belt buckles
And each night begins a new day
If you don't understand him
He'll prob'ly just ride away
Mamas, don't let your babies
Grow up to be cowboys
Don't let 'em pick guitars
Let 'em be doctors
And lawyers and such
Mamas don't let your babies
Grow up to be cowboys
Cause they'll never stay home
Even with someone they love
Cowboys like smoky old pool rooms
And clear mountain mornings
Little warm puppies and children
And girls of the night
Them that don't know him
Sometimes won't know how to take him
He ain't wrong, he's just different
Do things to make you think he's right
Mamas, don't let your babies
Grow up to be cowboys
Don't let 'em pick guitars
Let 'em be doctors
And lawyers and such
Mamas don't let your babies
Grow up to be cowboys
Cause they'll never stay home
Even with someone they love
Cause they'll never stay home
Even with someone they love
","['D', 'G', 'A', 'D', 'D', 'G', 'A', 'D', 'D', 'G', 'A', 'A', 'D', 'D', 'G', 'A', 'D', 'D', 'G', 'A', 'D', 'D', 'G', 'A', 'D', 'D', 'G', 'A', 'A', 'D', 'D', 'G', 'A', 'D', 'A', 'D']"
8,Sweet Dream Woman,Waylon Jennings,https://tabs.ultimate-guitar.com/tab/waylon-jennings/sweet-dream-woman-chords-2804297,"She's the womb that you left and she's the pride that you kept
She's the innocence that you left back in your youth
She's the poems that you read she's the mouth that you feed
And she's the holy and she's truth
Sweet dream woman of the night
Come and love me in the night
Sweet dream woman come and be
A woman to me
She's the mother of youth she is sweet baby blue
And she's a love that you once knew but you couldn't hold
She is bad luck and good and she's all that she should be
And I see her reasons all unfold
Sweet dream woman of the night
Come and love me in the night
Sweet dream woman come and be
A woman to me
Sweet dream woman come and be
A woman to me
","['D', 'A', 'G', 'D', 'D', 'A', 'G', 'D', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'D', 'A', 'G', 'D', 'D', 'A', 'G', 'D', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'D', 'G', 'D']"
9,Sad Songs And Waltzes,Willie Nelson,https://tabs.ultimate-guitar.com/tab/willie-nelson/sad-songs-and-waltzes-chords-1816278,"I'm writing a song all about you
A true song as real as my tears
But you've no need to fear it cause no one will hear it
Cause sad songs and waltzes aren't selling this year
I'll tell all about how you cheated
I'd like for the whole world to hear
I'd like to get even with you cause you're leaving
But sad songs and waltzes aren't selling this year
It's a good thing that I'm not a star
You don't know how lucky you are
Though my record may say it no one will play it
Cause sad songs and waltzes aren't selling this year
Well, it's a good thing that I'm not a star
You don't know how lucky you are
Though my record may say it no one will play it
Cause sad songs and waltzes aren't selling this year
","['A', 'E7', 'A', 'D', 'A', 'D', 'A', 'D', 'A', 'E7', 'A', 'A', 'E7', 'A', 'D', 'A', 'D', 'A', 'D', 'A', 'E7', 'A', 'E7', 'A', 'B7', 'E7', 'A', 'D', 'A', 'E7', 'A', 'E7', 'A', 'B7', 'E7', 'A', 'D', 'A', 'E7', 'A']"
