,name,author,link,lyrics,chords
0,Desnuda,Ricardo Arjona,https://tabs.ultimate-guitar.com/tab/ricardo-arjona/desnuda-chords-1486261,"No es ninguna aberracion sexual
pero me gusta verte andar en cueros;
el compas de tus pechos aventureros
victimas de la gravedad
Sera por que no me gusta la tapiceria
que creo que tu desnudes es tu mejor lenceria
Por eso es que me gusta tal y como eres;
incluso ese par de libras de mas
Si te viese tu jefe desnuda y detras
no dudaria en promover tu cintura
Deja llenarme de tu desnudez
para afrontar los disfraces de afuera
de una mejor manera
Desnuda que no habra diseño que te quede mejor 
que el de tu piel ajustada a tu figura
Desnuda que no hay un ingenuo que vista una flor
seria como taparle la hermosura
Desnuda que la naturaleza no se equivoca
y si te hubiese querido con ropa
con ropa hubieses nacido
Deja llenarme de tu desnudez
para vestirme por dentro
aunque sea un momento
Y ahora que por fin te tengo asi
desnuda y precisamente en frente;
desnuda tambien un poquito la mente
con tus complejos junto a tu ropa;
y si te sientes un poquito loca
ponte loca completa,
que verte sera solo el inicio
antes de perder el juicio
Desnuda que no habra diseño que te quede mejor 
que el de tu piel ajustada a tu figura
Desnuda que no hay un ingenuo que vista una flor
seria como taparle la hermosura
Desnuda que la naturaleza no se equivoca
y si te hubiese querido con ropa
con ropa hubieses nacido
Deja llenarme de tu desnudez
para vestirme por dentro
aunque sea un momento
","['G', 'D', 'Em', 'C', 'G', 'G', 'D', 'Em', 'C', 'G', 'G', 'D', 'C', 'G', 'B7', 'Em', 'C', 'G', 'D', 'C', 'G', 'D', 'Em', 'C', 'G', 'G', 'D', 'Em', 'C', 'G', 'D', 'C', 'G', 'B7', 'Em', 'C', 'G', 'D', 'G', 'G', 'D', 'C', 'G', 'D', 'G', 'D', 'C', 'G', 'D', 'Em', 'D', 'C', 'G', 'B7', 'Em', 'C', 'G', 'B7', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'G', 'D', 'Em', 'C', 'G', 'D', 'C', 'G', 'B7', 'Em', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'G', 'D', 'C', 'G', 'D', 'Em', 'D', 'C', 'G', 'B7', 'Em', 'C', 'G', 'B7', 'Em', 'C', 'G', 'D', 'Em', 'D', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'G']"
1,Schoolplein,Acda en de Munnik,https://tabs.ultimate-guitar.com/tab/acda-en-de-munnik/schoolplein-chords-406231,"Hij is geen held, tenminste niet een die telt
Maar hij doet zijn best te blijven staan
Laat ‘m zijn gang, hij kleurt wel best bij ‘t behang
Hij kan wel een beetje van de wereld aan
Ik weet niet waar hij woont, maar soms zit ie naast me
Ineens zit ie naast me buiten op de trap
Pas tien en geen vrienden, en heel vaak gepest
Maar dat geeft ie niet toe, hij geeft je een grap
Als ik het schoolplein op kom man, moet iedereen lachen (2x)
Zit ie naast me, dan praat ie uren
Hij lijkt op mij, zoals ik was
Dan wil ik helpen, zeg: kijk naar mij
Ik was ook nooit de leukste van de klas
Maar dan zegt ie: en nu dan? Wat maak je er nu van?
Ik zag je gisteren nog op TV
Je leek er niets van te snappen, maar des te harder je grappen
En daar wordt je niet echt veel gelukkiger mee
Als ik het schoolplein op kom man, moet iedereen lachen (2x)
Soms zegt er iemand: Zag je gisteren weer zitten, vroeg me af wat je deed
Ik zeg gewoon een beetje praten met een jongen die het allemaal weet
Ik ben geen held, tenminste niet een die telt
Maar ik doe mijn best te blijven staan
Wat ik schreeuw lijkt niet slecht, maar wat ik schrijf ben ik echt
En zo kan ik een beetje van de wereld aan.
Als ik het schoolplein op kom man, moet iedereen lachen
","['G5', 'Am', 'C', 'D', 'G5', 'Am', 'C', 'D', 'G5', 'Am', 'C', 'D', 'G5', 'Am', 'C', 'D', 'G5', 'Am', 'C', 'D', 'G5', 'Am', 'C', 'D', 'G5', 'Am', 'C', 'D', 'G5', 'Am', 'C', 'D', 'G5', 'Am', 'C', 'D', 'G5', 'Am', 'C', 'D', 'C', 'D', 'C', 'D', 'G5', 'Am', 'C', 'D', 'G5', 'Am', 'C', 'D', 'G5', 'Am', 'C', 'D']"
2,Picture Of You (ver 2),Boyzone,https://tabs.ultimate-guitar.com/tab/boyzone/picture-of-you-chords-768136,"Didn't they say that I would make a mistake
Didn't they say you were gonna be trouble
People told me you were too much to take
I could see it, I didn't wanna know
I let you in and you let me down
You messed me up and turned my life around
left me feeling I had nowhere to go
I was alone, how was I to know that
You'll be there, when I needed somebody
You'll be there, the only one to help me
I had a picture of you in my mind
Never knew it could be so wrong
Why'd it take me so long just to find
The friend that was there all along
Who'd believe that after all we've been through
I'd be able to put my trust in you
Goes to show you can forgive and forget
Looking back, I have no regrets cause
You'll be there, when I needed somebody
You'll be there, the only one to help me
I had a picture of you in my mind
Never knew it could be so wrong
Why'd it take me so long just to find
The friend that was there all along
","['C', 'G', 'F', 'G', 'C', 'G', 'F', 'G', 'C', 'G', 'F', 'G', 'C', 'G', 'F', 'G', 'Am', 'G', 'Am', 'G', 'C', 'G', 'Bb', 'F', 'C', 'G', 'Bb', 'F', 'C', 'G', 'F', 'G', 'C', 'G', 'F', 'G', 'C', 'G', 'F', 'G', 'Am', 'G', 'Am', 'G', 'C', 'G', 'Bb', 'F', 'C', 'G', 'Bb', 'F', 'C', 'G', 'F', 'G']"
3,Beautiful Child,Eurythmics,https://tabs.ultimate-guitar.com/tab/eurythmics/beautiful-child-chords-2816864,"Something that I said     Made you wear a frown
The way you hang your head      Has made the tears come down
But don't you wear a sigh
My_____y   beautiful child
You know it doesn't burn.    When you touch the sun
So don't be concerned.    My golden one
You're gonna reach the sky
Fly____y   Beautiful child
    There is no other place
the human race is running out of space
    There is no better love
And human love, is what it takes   oh    ooh
And I'll be at your side.   When you're falling down
You'll be feeling fine    when you hit the ground
So don't slip away
Stay...   Beautiful child
Yeah my Beautiful child
Huu my Beautiful child
You know my Beautiful child
Woh know my Beautiful child. (beautiful...)
Hey my Beautiful child. (beautiful...)
I love you  Beautiful child. (beautiful...). (beautiful...). (beautiful...) [fading]
","['Em9', 'D', 'Em9', 'D', 'Am7', 'C', 'G', 'D', 'G6', 'D', 'Em9', 'D', 'Em9', 'D', 'Am7', 'C', 'G', 'D', 'G6', 'D', 'F#m', 'Fmaj7', 'F#m', 'Fmaj7', 'C', 'G', 'D', 'G', 'D', 'Em9', 'D', 'Em9', 'D', 'Am7', 'C', 'G', 'D', 'G6', 'D', 'G6', 'D', 'G6', 'D', 'G6', 'D', 'G6', 'D', 'G6', 'D', 'G6', 'D', 'G6', 'D', 'G6', 'D']"
4,Without You (ver 3),Mariah Carey,https://tabs.ultimate-guitar.com/tab/mariah-carey/without-you-chords-2303511,"No, I can't forget this evening, or your face as you were leaving,
But I guess that's just the way the story goes.
You always smile but in your eyes your sorrow shows, yes it sh-ows.
No, I can't forget tomorrow, when I think of all my sorrow,
When I had you there but then I let you go.
And now it's on-ly fair that I should let you know,      what you should kno – ow.
I can't live, if living is without yo–o-ou,
I can't live, I can't give any  more.
I can't live, if living is without you,
I can't give, I can't give any   more-ore.
Well, I can't forget this evening, or your face as you were leaving,
But I guess that's just the way the story goes.
You always smile but in your eyes your sorrow shows, Yes how it sho–ows.
I can’t li-ve,  if living is without yo–o-ou,
I can't live, I can't give an-ny more.
I can't li - ve, if living is without you,
I can't give, I can't give an-y   more- ore.
I can’t li-ve, if living is without yo–o-ou,
I can't give, I can't give an-ny more.
","['Am', 'C', 'Dm', 'C', 'Am', 'C', 'Dm', 'C', 'Am', 'C', 'Bbm', 'Am', 'C', 'F', 'Am', 'C', 'Am', 'C', 'F', 'Am', 'C', 'F', 'Dm', 'F', 'Am', 'C', 'C', 'Dm', 'C', 'Am', 'Dm', 'C', 'Am', 'Bbm', 'Am', 'C', 'F', 'Am', 'Bbm', 'F', 'C', 'F', 'Am', 'C', 'F', 'Dm', 'F', 'G', 'F', 'C', 'Am', 'C', 'Dm', 'C', 'Am', 'C', 'F', 'Am', 'Bbm', 'Gb', 'Bbm', 'Bbm7', 'Bbm', 'Am', 'C', 'F', 'Am', 'Bbm', 'Gb', 'Bbm', 'Bbm7', 'Bbm', 'C', 'Dm', 'C', 'Am', 'Dm', 'C', 'Am', 'C', 'Bbm', 'Am', 'C', 'C', 'Am', 'C', 'F', 'Am', 'C', 'F', 'Dm', 'C', 'Am', 'C', 'Am', 'F', 'C', 'Am', 'C', 'Am', 'F', 'Am', 'Bbm', 'Gb', 'Bbm', 'Am', 'C', 'Bbm', 'Am', 'Dm', 'F', 'Am', 'Bbm', 'F', 'Bbm', 'Am', 'C', 'Bbm', 'Am', 'C', 'Am', 'F', 'Am', 'Bbm', 'F', 'Bbm', 'Am', 'C', 'Bbm', 'F']"
5,Ziggy Un Garçon Pas Comme Les Autres,Celine Dion,https://tabs.ultimate-guitar.com/tab/3736214,"Ziggy il s'appelle Ziggy
Je suis folle de lui
C'est un garçon pas comme les autres
Mais moi je l'aime c'est pas d'ma faute
Même si je sais qu'il ne m'aimera jamais
Ziggy il s'appelle Ziggy
Je suis folle de lui
La première fois que je l'ai vu
J'me suis j'tée sur lui dans la rue
J'lui ai seulement dit, que j'avais envie de lui
Il était quatre heures du matin
J'étais seule et j'avais besoin
De parler à quelqu'un
Il m'a dit viens prendre un café
On s'est raconté nos vies
On a ri on a pleuré. Oui
Ziggy il s'appelle Ziggy
C'est mon seul ami
Dans sa tête il y a que d'la musique
Il vend des disques dans une boutique
On dirait qu'il vit dans une autre galaxie
Tous les soirs il m'emmène danser
Dans des endroits très très gais
Où il a des tas d'amis
Oui je sais il aime les garçons
Je devrais me faire une raison
Essayer de l'oublier
Ziggy il s'appelle Ziggy
Je suis folle de lui
C'est un garçon pas comme les autres
Mais moi je l'aime c'est pas d'ma faute
Même si je sais qu'il ne m'aimera jamais
","['G', 'D', 'Em', 'A', 'D', 'G', 'Bm', 'F#', 'Bm', 'F#7', 'Bm', 'G', 'D', 'Em', 'A', 'D', 'G', 'Bm', 'F#', 'Bm', 'F#7', 'Bm', 'G', 'B', 'Em', 'A7', 'D', 'D7', 'G', 'B', 'Em', 'A', 'D', 'D7', 'G', 'D', 'Em', 'A', 'D', 'G', 'Bm', 'F#', 'Bm', 'F#7', 'Bm', 'G', 'B', 'Em', 'A', 'D', 'D7', 'G', 'B', 'Em', 'A', 'D', 'D7', 'G', 'D', 'Em', 'A', 'D', 'G', 'Bm', 'F#', 'Bm', 'F#7', 'Bm']"
6,One More Kiss (ver 2),Paul McCartney,https://tabs.ultimate-guitar.com/tab/paul-mccartney/one-more-kiss-chords-1811905,"Only one more kiss
I didn't mean to hurt you little girl
Let's make it one to remember
Only one more kiss
I said a foolish thing last night
I didn't think you'd take it bad
But now I'm on my way again
And just before I go
Only one more kiss
I never mean to hurt you little girl
Let's make it one to remember
Only one more kiss
Only one more kiss
I never mean to hurt you little girl
Let's make it one to remember
Only one more kiss
Somebody's built a home for us
Someday we'll see it standin' there
But like the wind that has to blow
I must be on my way
Only one more kiss
I never mean to hurt you little girl
Let's make it one to remember
Only one more kiss
Well, only one more kiss, hey, hey, hey
","['Bm', 'Em', 'Bm', 'Am7', 'D7', 'G', 'G', 'Bm', 'D7', 'G', 'G', 'Bm', 'D7', 'G', 'C', 'Em', 'Am', 'C', 'D7', 'Bm', 'Em', 'Bm', 'Am7', 'D7', 'G', 'Bm', 'Em', 'Bm', 'Am7', 'D7', 'G', 'G', 'Bm', 'D', 'G', 'G', 'Bm', 'D', 'G', 'C', 'Em', 'Am', 'C', 'D7', 'Bm', 'Em', 'Bm', 'Am7', 'D7', 'G', 'Am7', 'D7', 'G']"
7,I Will Be Your Bride (ver 2),The Kelly Family,https://tabs.ultimate-guitar.com/tab/the-kelly-family/i-will-be-your-bride-chords-819380,"When I'm gone from here
Will you wait for me
When I'm far from here
Will you pray for me
Would you care for me
If I needed hospitality
Would you cry for me
If I were lying in bed
Lying in bed, dying
She says
I will be your bride
Be there truly by your side
I will be your bride
I will give my fullest heart
Now that I must go
I know you'll wait for me
They're taking me to war
To cease the enemy
Heaven's strength will grow
Within you and me
In crucial times it'll show
If we're bond as one
To make a big family
I will be your bride
Be there truly by your side
I will be your bride
I will give my fullest heart
There's no limits, life is long
There's no limits,'cause life goes on
There's no limits,life is long
There's no boundries,'cause life goes on
When I'm gone from here
Will you wait for me
When I'm far from here
Will you pray for me
Would you care for me
If I needed hospitality
Would you cry for me
If I were lying in bed
Lying in bed, dying
She says
I will be your bride
Be there truly by your side
I will be your bride
I will give my fullest heart
There's no limits, life is long
There's no limits,'cause life goes on
There's no limits,life is long
There's no boundries,'cause life goes on
","['G', 'D', 'Am', 'G', 'D', 'G', 'D', 'Am', 'G', 'D', 'G', 'D', 'C', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Am', 'G', 'D', 'G', 'D', 'Am', 'G', 'D', 'G', 'D', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'Em', 'C', 'D', 'G', 'Em', 'C', 'D', 'G', 'D', 'Am', 'G', 'D', 'G', 'D', 'Am', 'G', 'D', 'G', 'D', 'C', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'Em', 'C', 'D', 'G', 'Em', 'C', 'D']"
8,The Second Element Ii,Sarah Brightman,https://tabs.ultimate-guitar.com/tab/sarah-brightman/the-second-element-ii-chords-1751542,"    Burning fire
A light in the dark
Shining day and night for me
Flowing water
The source of our life
Covering the world in blue
Gentle air blowing
Caressing my face
Carry me into dreams of love
The endless symphony...
Wasn't it you
Who was filling my dreams
The second element
Everywhere you are rife
Wasn't it you
Who was filling the streams
The second element
With the power of life
Creeks are winding
Just seeking their way
Harly tryin' to reach the sea
Raindrops falling
From skies to the earth
Bringing life to you and me
Lakes of silence
A magical sound
Keeping secrets in the ground
A perfect harmony...
Wasn't it you
Who was breaking the light
The second element
And the rainbows arise
Oh, wasn't it you
Who was standing a fight
The second element
From the earth to the skies
Wasn't it you, who was filling my dreams
Wasn't it you, who was filling the streams
Wasn't it you, who was breaking the light
","['Am', 'F', 'C', 'Dm', 'Am', 'F', 'C', 'Dm', 'Am', 'F', 'C', 'Dm', 'Am', 'F', 'C', 'Dm', 'Am', 'F', 'C', 'Dm', 'Am', 'F', 'C', 'Dm', 'F', 'F', 'Am', 'F', 'C', 'Dm', 'Am', 'F', 'C', 'G', 'Am', 'F', 'C', 'Dm', 'Am', 'F', 'C', 'G', 'Am', 'C', 'Dm', 'Am', 'F', 'C', 'Dm', 'Am', 'F', 'C', 'Dm', 'Am', 'F', 'C', 'Dm', 'Am', 'F', 'C', 'Dm', 'Am', 'F', 'C', 'Dm', 'F', 'F', 'Am', 'F', 'C', 'Dm', 'Am', 'F', 'C', 'G', 'Am', 'F', 'C', 'Dm', 'Am', 'F', 'C', 'G', 'F', 'C', 'Dm', 'Am', 'F', 'C', 'G', 'Am', 'F', 'C', 'Dm', 'Am', 'F', 'C', 'G', 'Am', 'F', 'C', 'Dm', 'Am', 'F', 'C', 'G', 'Am']"
9,No Importa La Distancia (ver 2),Ricky Martin,https://tabs.ultimate-guitar.com/tab/ricky-martin/no-importa-la-distancia-chords-1488391,"Una vez soñé, que en algún lugar 
yo podría ser alguien, si lograse amar
Y también soñé, que si he de triunfar
mi orgullo aferrado, tendré que superar
Un día llegaré, no importa la distancia
el rumbo encontraré,    y tendré valor
paso a paso iré, y persistiré
a cualquier distancia yo el amor alcanzaré
Una vez te vi, era todo irreal
y aunque fuese un sueño, te sentía junto a mí
Sé que estás ahí, que te encontraré
aunque tarde una vida, yo jamás renunciaré
Un día llegaré, no importa la distancia
el rumbo encontraré,    y tendré valor
paso a paso iré, y persistiré
a cualquier distancia yo el amor alcanzaré
Más allá de toda gloria, del orgullo y el valor
el poder de un héroe está en su corazón 
Un día llegaré, no importa la distancia
el rumbo encontraré,    y tendré valor
paso a paso iré,      y persistiré
a cualquier distancia yo la vida y tu amor tendré
Paso a paso iré, y persistiré
a cualquier distancia yo la vida y tu amor tendré
","['G', 'A', 'D', 'G', 'A', 'D', 'G', 'A', 'Bm7', 'Gmaj7', 'Asus', 'A', 'G', 'A', 'D', 'G', 'A', 'Bm', 'G', 'F#', 'Bm', 'D/A', 'G', 'Asus', 'A', 'Dadd9/F#', 'Em/G', 'D/A', 'A', 'A/G', 'Dadd9/F#', 'Em/G', 'D/A', 'A', 'A/G', 'Dadd9/F#', 'G', 'Bm7', 'Em7', 'G', 'A', 'D', 'A/C#', 'Bm', 'D/A', 'Gmaj7', 'A', 'D', 'G', 'A', 'D', 'G', 'A', 'D', 'G', 'A', 'Bm7', 'Gmaj7', 'Asus', 'A', 'G', 'A', 'D', 'G', 'A', 'Bm', 'G', 'F#', 'Bm', 'D/A', 'G', 'Asus', 'A', 'Dadd9/F#', 'Em/G', 'D/A', 'A', 'A/G', 'Dadd9/F#', 'Em/G', 'D/A', 'A', 'A/G', 'Dadd9/F#', 'G', 'Bm7', 'Em7', 'G', 'A', 'D', 'A/C#', 'Bm', 'D/A', 'G', 'Asus', 'A', 'D', 'F', 'Bb/D', 'C/E', 'A/C#', 'D', 'G', 'F#/A#', 'Dadd9/F#', 'Em/G', 'D/A', 'A', 'G', 'Dadd9/F#', 'Em/G', 'D/A', 'A', 'G', 'Dadd9/F#', 'E/G#', 'Bm7', 'Em7', 'G', 'A', 'D', 'A/C#', 'Bm', 'D/A', 'G', 'Asus', 'A', 'D5', 'Asus', 'Dadd9/F#', 'G', 'Bm7', 'Em7', 'G', 'A', 'D', 'A/C#', 'Bm', 'D/A', 'Gmaj7', 'A7sus', 'G/B', 'A/C#', 'D']"
