,name,author,link,lyrics,chords
0,Who Do You Tell,Tamia,https://tabs.ultimate-guitar.com/tab/tamia/who-do-you-tell-chords-3766586,"There you were in a crowded room
With someone, at least I assumed
How did I know I would fall in love
With you so soon
Just one look in your eyes and I see the truth
And I try hard to hide that I'm made for you
But I know deep inside, things that we could do
Just as long as we're together, oh
But who do you tell when you love someone?
Hoping that someone's in love with you
Who do you tell when you love someone?
I think I might as well tell you
I can't believe that I feel this way
There is so much I want to say
I want to touch you, hold you, feel you, please you
As we're making love all through the night
We would talk to each other
We would laugh and play
We would claim it's forever
Every night and day
We would share every minute
'Til the test of time
In my mind, baby, yeah, oh
Who do you tell when you love someone?
Hoping that someone's in love with you
Who do you tell when you love someone?
I think I might as well tell you
Who do you tell when you love someone?
Hoping that someone's in love with you
Who do you tell when you love someone?
I think I might as well tell you
Oh, I've hesitated much too many times
And I won't let you slip away from me
I know you're for me and me for you
But I don't know what to say or to do
So now that we're together
I'm telling you
Who do you tell when you love someone?
Hoping that someone's in love with you
Who do you tell when you love someone?
I think I might as well tell you
I think I might as well tell, tell you
","['A', 'E', 'F#m', 'D', 'E', 'F#m', 'D', 'E', 'F#m', 'Bm', 'E', 'A', 'E', 'F#m', 'D', 'E', 'F#m', 'D', 'E', 'F#m', 'Bm', 'E', 'A', 'E', 'F#m', 'D', 'E', 'F#m', 'D', 'E', 'F#m', 'Bm', 'E', 'A', 'E', 'F#m', 'D', 'E', 'F#m', 'D', 'E', 'F#m', 'Bm', 'E', 'A', 'E', 'F#m', 'D', 'E', 'F#m', 'D', 'E', 'F#m', 'Bm', 'E', 'A', 'E', 'F#m', 'D', 'E', 'F#m', 'D', 'E', 'F#m', 'Bm', 'E', 'A', 'E', 'F#m', 'D', 'E', 'F#m', 'D', 'E', 'F#m', 'Bm', 'E', 'F#m', 'C#m', 'G', 'F#m', 'C', 'C#m', 'E', 'A', 'E', 'F#m', 'D', 'E', 'F#m', 'D', 'E', 'F#m', 'Bm', 'E', 'Bm', 'E', 'A']"
1,I Dont Wanna Fight,Tina Turner,https://tabs.ultimate-guitar.com/tab/tina-turner/i-dont-wanna-fight-chords-38216,"----------------------------------------------------------------
---------------------------------
","['G', 'D', 'D/F#', 'G', 'F#', 'D', 'D/F#', 'G', 'Em9']"
2,I Dont Wanna Fight (ver 2),Tina Turner,https://tabs.ultimate-guitar.com/tab/tina-turner/i-dont-wanna-fight-chords-3687419,"   There's a pale moon in the sky
The kind you make your wishes on
Oh, like the light in your eyes
The one I built my dreams upon
It's not there any longer
Something happened somewhere
and we both know why
But me, I'm getting stronger
   We must stop pretending,
  I can't live this life
  I don't care who's wrong or right
I don't really wanna fight no more
(Too much talking, babe)
  Let's sleep on it tonight
I don't really wanna fight no more
This is time for letting go
  I hear a whisper in the air
It simply doesn't bother me
Can't you see that I don't care
Or are you looking right through me?
It seems to me that lately
You look at me the wrong way
and I start to cry
Could it be that maybe
This crazy situation
is the reason why?
  I don't care who's wrong or right
I don't really wanna fight no more
(Too much talking, babe)
  Let's sleep on it tonight
I don't really wanna fight no more
(Tired of all these games)
   Oh, baby, don't you know
That I don't wanna hurt no more?
(it's time, I'm walking, babe)
  Don't care now who's to blame
I don't really wanna fight no more
This is time for letting go
   Hanging on to the past
   It only stands in our way
   We had to grow for our love to last
     But we just grew apart
    Oh, don't wanna hurt no more
  But, baby don't you know,
No, I don't wanna hurt no more
(Too much talking babe)
  So let's sleep on it tonight
I don't really want to fight no more
This is time for letting go
     No, I don't want to
hurt no more (too much, hey baby)
  Don't care now who's to blame
I don't really want to fight no more 
","['D', 'D/F#', 'G', 'D/F#', 'G', 'Em', 'D/F#', 'Em', 'G', 'D/F#', 'Em', 'A', 'D', 'Em', 'A', 'G', 'A', 'D', 'Em', 'A', 'G', 'Gmaj7', 'D', 'D/F#', 'G', 'D/F#', 'G', 'Em', 'D/F#', 'Em', 'D/F#', 'G', 'D/F#', 'Em', 'A', 'D', 'Em', 'A', 'G', 'A', 'D', 'Em', 'A', 'G', 'A', 'D', 'Em', 'A', 'G', 'A', 'D', 'Em', 'A', 'G', 'D', 'Am', 'G', 'D', 'C', 'Am', 'G', 'D/F#', 'Em', 'A', 'D', 'Em', 'A', 'D', 'Em', 'A', 'G', 'A', 'D', 'Em', 'A', 'G', 'A', 'D', 'Em', 'A', 'G', 'A', 'D', 'Em', 'A']"
3,The Grand Tour,Aaron Neville,https://tabs.ultimate-guitar.com/tab/aaron-neville/the-grand-tour-chords-1188132," Step right up, come on in, if you'd like to take the grand tour
Of the lonely house that once was home sweet home
Some things I know will chill you to the bone
Over there, sits the chair where she'd bring the paper to me
Sit down on my knee and whisper, “Oh I Love You”
But now she's gone forever and this old house will never be the same
without the love that we once knew
Straight ahead, That's the bed, where we'd lie in love together
And lord knows we had a good thing going here
Just to touch me and say,”good morning dear”
There's her ring. All her things and her clothes are in the closet
Where she left them when she tore my world apart
As you leave you see the nursery, oh she left me without mercy
Taking nothing but our baby and my heart
Step right up, come on in, come on in
","['G#', 'C#', 'G#', 'A#7', 'D#', 'G#', 'C#', 'G#', 'D#', 'G#', 'A#7', 'G#', 'A', 'D', 'A', 'B7', 'E', 'A', 'D', 'A', 'E', 'A', 'B7', 'E', 'A']"
4,No Love,Erykah Badu,https://tabs.ultimate-guitar.com/tab/erykah-badu/no-love-chords-2555058,"Never thought you'd do me
The way you do
How can anyone be so cruel
When you know I love you, yes I do
Misunderstood
Turned your back on me and left me lonely
I wish I could
Open up my heart so you can know me 
How can we make love when you don't love me?
You don't show no love (ah-ah)
You don't show no love
You don't show no love
You don't show no love
You don't show no love
You don't show no love
You don't show no love
How can we make love when you don't love me?
You don't show no love (ah-ah)
You don't show no love
You don't show no love
You don't show no love
You don't show no love
You don't show no love
You don't show no love
You don't show no love
You don't show no love
You don't show no love
You don't show no love
You don't show no love
You don't show no love
You make me feel like you care a lot
But I love you too much, much too much
You make me feel like you care a lot
But I love you too much, much too much
You make me feel like you care a lot
But I love you too much, much too much
Baby you
","['Fm', 'Gm', 'Fm', 'Gm', 'Bm', 'Gm', 'Fm', 'Gm', 'Fm', 'Gm', 'F', 'Gm', 'Bb', 'Gm', 'D', 'Gm', 'F', 'Gm', 'Fm', 'Gm', 'Dm', 'Gm', 'Fm', 'Gm', 'F', 'Gm', 'Gm', 'Fm', 'Gm', 'F', 'Gm', 'Gm', 'D', 'G', 'Fm', 'Gm', 'Fm', 'Gm', 'Dm', 'Gm', 'Fm', 'Gm', 'F', 'Gm', 'Gm', 'Fm', 'Gm', 'F', 'Gm', 'Gm', 'Fm', 'Gm', 'F', 'Gm', 'Gm', 'Fm', 'Gm', 'F', 'Gm', 'Gm', 'D', 'G', 'Fm', 'Gm', 'Fm', 'Gm', 'D', 'G', 'Fm', 'Gm', 'Fm', 'Gm', 'D', 'G', 'Fm', 'Gm', 'Fm', 'Gm', 'D', 'G', 'Fm', 'Gm', 'Fm', 'Gm', 'D', 'G', 'Fm', 'Gm', 'Fm', 'Gm', 'D', 'G', 'Fm', 'Gm', 'Fm', 'Gm', 'D', 'G', 'Fm', 'Gm', 'Fm']"
5,Age Aint Nothing But A Number,Aaliyah,https://tabs.ultimate-guitar.com/tab/aaliyah/age-aint-nothing-but-a-number-chords-2054114,"Age ain't nothing but a number
Throwing down ain't nothing but a thang
This lovin' I have for you
It'll never change
Age ain't nothing but a number
Throwing down ain't nothing but a thang
This lovin' I have for you
It'll never change
Here I am,    there you are
You're eyes are calling me to your heart
All you gotta do is knock and I'll let you in
Then we will feel the passion that flows within
I don't mean to be bold but I gotta let you know
I got a thing for you and I can't let go
Age ain't nothing but a number, 
throwing down ain't nothing but a thang,
This something I have for you 
it'll never change
Age ain't nothing but a number, 
throwing down ain't nothing but a thang,
This something I have for you 
it'll never change
Take my hand and come with me
And let me show you true extasy
Boy be brave don't be afraid
Cause tonight we're gonna go all the way
I don't mean to be bold but I gotta let you know
I got a thing for you and I can't let go
Age ain't nothing but a number, 
throwing down ain't nothing but a thang,
This something I have for you 
it'll never change
Age ain't nothing but a number, 
throwing down ain't nothing but a thang,
This something I have for you 
it'll never change
""So what's up, Here I am, reach...
Baby   Come here...
Age ain't nothin' ohhh.. Ooh
I don't mean to be bold, 
but I gotta let you know,
Liyah's got a thang for you,
and I can't let go... Ooh my...
Age ain't nothing but a number, 
throwing down ain't nothing but a thang,
This something I have for you 
it'll never change
Age ain't nothing but a number, 
throwing down ain't nothing but a thang,
This something I have for you 
it'll never change
Age ain't nothing but a number, 
throwing down ain't nothing but a thang,
This something I have for you 
it'll never change
Age ain't nothing but a number, 
throwing down ain't nothing but a thang,
This something I have for you 
it'll never change
","['Bm', 'C#m', 'F#m', 'E', 'C#m', 'F#m', 'C', 'Bm', 'A', 'F#m', 'C#m', 'E', 'C#m', 'F#m', 'D', 'C#m', 'F#m', 'F#', 'G#', 'C#m', 'F#m', 'Bm', 'A', 'F#m', 'C#m', 'G#', 'C#m', 'B', 'C#m', 'F#m', 'Bm', 'C#m', 'F#m', 'Bm', 'C#m', 'C#m', 'G#', 'C#m', 'F#m', 'B', 'Bm', 'C#m', 'A', 'A', 'E', 'F#m', 'Bm', 'C#m', 'F#m', 'C#m', 'G#', 'C#m', 'F#m', 'Bm', 'C#m', 'F#m', 'Bm', 'E', 'C#', 'F#m', 'B', 'F#m', 'E', 'C#', 'A', 'F#m', 'A', 'B', 'Bm', 'F#m', 'E', 'C#m', 'F#', 'Bm', 'Bm', 'F#m', 'E', 'C#m', 'F#m', 'D', 'A', 'D', 'A', 'F#m', 'A', 'A', 'Bm', 'F#m', 'F#m', 'E', 'C#m', 'F#m', 'Bm', 'Bm', 'C#m', 'E', 'C#m', 'F#m', 'Bm', 'C#', 'C#m', 'E', 'C#m', 'F#m', 'Bm', 'C#m', 'E', 'C#m', 'F#m', 'Bm', 'C#', 'C#m', 'E', 'C#m', 'F#m']"
6,Age Aint Nothing But A Number (ver 2),Aaliyah,https://tabs.ultimate-guitar.com/tab/aaliyah/age-aint-nothing-but-a-number-chords-2062953,"                                             ^ x467x7/x4643x
Age ain't nothing but  a number, throwing down ain't nothing but a thang,
This something I have for   you it'll never change
Age ain't nothing but   a number, throwing down ain't nothing but a thang,
This something I have for   you it'll never change
      Here I    am,    and there you are,
      your eyes are  calling me    to your heart.
      All you gotta do is   knock,    I'll let you in,
      And we will feel the passion that flows within.
I   don't mean to be   bold,    but I gotta let you know,
I gotta thang for you      and I can't let go... ooh my
Age ain't nothing but  a number, throwing down ain't nothing but a thang,
This something I have for   you it'll never change
Age ain't nothing but  a number, throwing down ain't nothing but a thang,
This something I have for   you it'll never change
      Take my   hand,    and come with me,
      let me   show you    to ectasy,
      Boy be   brave,    don't be afraid,
      cause tonight we're gonna go  all the way.
    Don't mean to be   bold,    gotta let you know,
    I gotta thang for you,      and I can't let go, ooh my...
Age ain't nothing but  a number, throwing down ain't nothing but a thang,
This something I have for   you it'll never change
Age ain't nothing but  a number, throwing down ain't nothing but a thang,
This something I have for   you it'll never change
             ""So what's up,     Here I am,
              reach...    baby
              Come here...
Age ain't nothin' but  a number         ...ooh
I  don't mean to be   bold,    but I gotta let you know,
Liyah's got a thang for you      and I can't let go...ooh my...
Age ain't nothing but  a number, throwing down ain't nothing but a thang,
This something I have for   you it'll never change
Age ain't nothing but  a number, throwing down ain't nothing but a thang,
This something I have for   you it'll never change
Age ain't nothing but  a number, throwing down ain't nothing but a thang,
This something I have for   you it'll never change
Age ain't nothing but  a number, throwing down ain't nothing but a thang,
This something I have for   you it'll never change
Age ain't nothing but  a number, throwing down ain't nothing but a thang,
This something I have for   you it'll never change
","['F#m', 'Dmaj7+11', 'Dmaj7sus2', 'Aadd9/C#', 'Bmadd4', 'C#7-9', 'Bm13', 'C#7-9', 'F#m9', 'G#7-13', 'C#7-13', 'F#m9', 'F#m9', 'C6/9', 'Bm9', 'C#7-13', 'F#m9', 'G#7-13', 'C#7-13', 'F#m9', 'F#m9', 'C6/9', 'Bm9', 'C#7-9', 'F#m9', 'G#7-13', 'C#aug', 'F#m9', 'C6/9', 'Bm9', 'C#7+9', 'F#m9', 'G#7-13', 'C#aug', 'F#m9', 'C6/9', 'Bm13', 'C#7-9', 'F#m9', 'G#7-13', 'C#7-13', 'F#m9', 'C6/9', 'Bm9', 'C#7+9', 'F#m9', 'G#7-13', 'C#7-13', 'F#m9', 'F#m9', 'C6/9', 'Bm9', 'C#7-9', 'F#m9', 'G#7-13', 'C#7-13', 'F#m9', 'F#m9', 'C6/9', 'Bm9', 'C#7+9', 'F#m9', 'G#7-13', 'C#aug', 'F#m9', 'C6/9', 'Bm9', 'C#7-9', 'F#m7', 'G#7-13', 'C#aug', 'F#m9', 'C6/9', 'Bm9', 'C#7+9', 'F#m9', 'G#7-13', 'C#7-13', 'F#m9', 'C6/9', 'Bm9', 'C#7-9', 'F#m9', 'G#7-13', 'C#7-13', 'F#m9', 'F#m9', 'C6/9', 'Bm9', 'C#7+9', 'F#m9', 'G#7-13', 'C#7-13', 'F#m9', 'F#m9', 'C6/9', 'Bm9', 'Dm6/9', 'Amaj7', 'G#7+9', 'C#7-9/E#', 'Amaj9/E', 'Bm7add11', 'Bm9', 'Dm6/9', 'Amaj7', 'G#7+9', 'Bm7-5', 'Amaj7', 'Bm7add11', 'Bm9', 'C#7-9', 'F#m9', 'G#7-13', 'C#7-13', 'F#m9', 'C6/9', 'Bm9', 'C#7+9', 'F#m7', 'G#7-13', 'C#7-13', 'F#m9', 'F#m9', 'C6/9', 'Bm9', 'C#7-9', 'F#m7', 'G#7-13', 'C#7-13', 'F#m9', 'F#m9', 'C6/9', 'Bm9', 'C#7+9', 'F#m7', 'G#7-13', 'C#7-13', 'F#m9', 'F#m9', 'C6/9', 'Bm9', 'C#7-9', 'F#m7', 'G#7-13', 'C#7-13', 'F#m9', 'F#m9', 'C6/9', 'Bm9', 'C#7-9', 'F#m7', 'G#7-13', 'C#7-13', 'F#m9', 'F#m9', 'C6/9']"
7,Street Thing,Aaliyah,https://tabs.ultimate-guitar.com/tab/aaliyah/street-thing-chords-2053691,"     You and me  got a street thing going  on
    Now that we have come to know each other
    I'll never go away, love will always stay here forever
    Cause this thing we've got is very rare (yeah)
    So don't ever go nowhere
    Cause you and me go
    A street kinda thing going on
    And I'm so happy that I found you
    Our love ain't going nowhere
    It's gonna stay right here
    Right here forever
    You'll never have to ask a second time
    I'm the one for you, you're the one for me,
    so there's no doubt in my mind (no)
    Boy this love we have is oh so real (oh, yes it is)
    That's why I'm never going nowhere,
    Cause you and me go
    A street kinda thing going on
    And I'm so happy that I found you
    Our love ain't going nowhere
    It's gonna stay right here
    Right here forever
    Yo Liyah, why don't you take it to the bridge
    And let 'em know how you really feel
    You can climb the highest mountain
    You can swim the deepest sea
    But, boy, I gotta let you know
    My love will always be
    You can climb the highest mountain
    You can swim the deepest sea
    But, boy, I gotta let you know
    My love will always be
    You can climb the highest mountain
    You can swim the deepest sea
    But, boy, I gotta let you know
    My love will always be
    You can climb the highest mountain
    You can swim the deepest sea
    But, boy, I gotta let you know
    My love will always be
    You can climb the highest mountain
    You can swim the deepest sea
    But, boy, I gotta let you know
    My love will always be
    You can climb the highest mountain
    You can swim the deepest sea
    But, boy, I gotta let you know
    My love will always be
    You can climb the highest mountain
    You can swim the deepest sea
    But, boy, I gotta let you know
    My love will always be
    You can climb the highest mountain
    You can swim the deepest sea
    But, boy, I gotta let you know
    My love will always be  .....
","['G/D', 'Am/C', 'Bm', 'Am', 'Am7/G', 'Am', 'Am7/G', 'G7', 'Gadd9', 'Am/C', 'Bm', 'Gmaj7', 'C', 'Cmaj7', 'G', 'Gmaj7', 'Bm7', 'Cmaj7', 'Am7', 'B7', 'Cdim7', 'G', 'Am/C', 'Bm', 'Gadd9', 'C', 'Cmaj7/B', 'G', 'Bm7', 'Cmaj7', 'Am7', 'B7', 'Cdim7', 'Gadd9', 'Am/C', 'Bm', 'Gmaj7', 'C', 'Cmaj7/B', 'G', 'Gmaj7', 'Bm7', 'Cmaj7', 'Am7', 'B7', 'Cdim', 'G', 'Am/C', 'Bm', 'Gadd9', 'C', 'Cmaj7/B', 'G', 'Bm7', 'Cmaj7', 'Am7', 'B7', 'Cdim7', 'Cdim7', 'Cdim7', 'E/B', 'Ammaj7/G#', 'C#m7', 'Bm7', 'E', 'Eaug', 'E/B', 'Ammaj7/G#', 'C#m7', 'Bm7', 'E', 'Eaug', 'E/B', 'Ammaj7/G#', 'C#m7', 'Bm7', 'E', 'Eaug', 'E/B', 'Ammaj7/G#', 'C#m7', 'Bm7', 'E', 'Eaug', 'E/B', 'Ammaj7/G#', 'C#m7', 'Bm7', 'E', 'Eaug', 'E/B', 'Ammaj7/G#', 'C#m7', 'Bm7', 'E', 'Eaug', 'E/B', 'Ammaj7/G#', 'C#m7', 'Bm7', 'E', 'Eaug', 'E/B', 'Ammaj7/G#', 'C#m7', 'Bm7', 'E', 'Eaug']"
8,Young Nation,Aaliyah,https://tabs.ultimate-guitar.com/tab/aaliyah/young-nation-chords-1993615,"Young nation under a groove
Keepin' it smooth with a jazz attitude
Young nation under a groove
Keeping it smooth
Young nation under a groove
Keepin' it smooth with a jazz attitude
Young nation under a groove
Keeping it smooth
As I'm strolling down the block with really nothing on my mind
Laid back and I'm just thinking of old times
Pop in a Isley Brothers tape and I'm maxing
Peeping through my side view, checking out my waxing
Hey, I gotta say
Today's a good day for me to live around the way (ho)
 Time to hit the 6-4
And pump the bass at 'em just to let 'em know
Aaliyah's in the house, so I think you'd better check my flow
  Hello, hello
I'm the young nation and young nation is me
So here we go, from the 1 the 2 and 2 the 3
Young nation under a groove
Keepin' it smooth with a jazz attitude
Young nation under a groove
Keeping it smooth
Young nation under a groove
Keepin' it smooth with a jazz attitude
Young nation under a groove
Keeping it smooth
 I check my cellular because my beeper's beeping
Booty calls are creeping, fellas on the corner peeping
Me (wassup); time to set it off
And so I pick up my girls and hit the strip just because
 Jazz array hey, it's Saturday and
The sun is blazing, it's so amazing
 And if you are a YNP
And you're rolling with the BGE Congratulations
 I know I got the skills to make you trip
R Kelly's flipping tracks, so grab a hold and don't you slip
The negative young nation that steps to me gets dealt with
 So raise your hands if you're sure
Are you a young nation?
Young nation under a groove
Keepin' it smooth with a jazz attitude
Young nation under a groove
Keeping it smooth
Young nation under a groove
Keepin' it smooth with a jazz attitude
Young nation under a groove
Keeping it smooth
Well, 6 o' clock rolls around and now I'm stepping
Stop to get some dressing, to the mall I'm flexing
 You know to get them funky croaka-sacks
Tonight I'm hitting the town, ain't holding nothing back
 Hey, well alright
Tonight is the night
 Well I'm in the mood for celebration
 Or even some jazzy conversation
 Hey, it's okay
  Here I come, so make way
I'm the young nation and young nation is me
So here we go from the 1 the 2 and 2 the 3
Young nation under a groove
Keepin' it smooth with a jazz attitude
Young nation under a groove
Keeping it smooth
Young nation under a groove
Keepin' it smooth with a jazz attitude
Young nation under a groove
Keeping it smooth
Young nation under a groove
Keepin' it smooth with a jazz attitude
Young nation under a groove
Keeping it smooth
Young nation under a groove
Keepin' it smooth with a jazz attitude
Young nation under a groove
Keeping it smooth
Young nation under a groove
Keepin' it smooth with a jazz attitude
Young nation under a groove
Keeping it smooth
Hey, it's a great day
  The lover on the way
Young nation
","['Fm', 'G', 'Cm7', 'Cm6', 'Csus2', 'Csus4', 'Fm', 'G', 'Cm7', 'Cm6', 'Csus2', 'Csus4', 'Fm', 'G', 'Cm7', 'Cm6', 'Csus2', 'Csus4', 'Fm', 'G', 'Cm7', 'Cm6', 'Csus2', 'Csus4', 'Fm', 'G', 'Cm7', 'Cm6', 'Fm', 'G', 'Cm7', 'Cm6', 'Fm', 'G', 'Cm7', 'Cm6', 'Fm', 'G', 'Cm7', 'Cm6', 'Fm', 'G', 'Cm7', 'Cm6', 'Fm', 'G', 'Cm7', 'Cm6', 'Fm', 'G', 'Cm7', 'Cm6', 'Csus2', 'Csus4', 'Fm', 'G', 'Cm7', 'Cm6', 'Csus2', 'Csus4', 'Fm', 'G', 'Cm7', 'Cm6', 'Csus2', 'Csus4', 'Fm', 'G', 'Cm7', 'Cm6', 'Csus2', 'Csus4', 'Fm', 'G', 'Cm7', 'Cm6', 'Fm', 'G', 'Cm7', 'Cm6', 'Fm', 'G', 'Cm7', 'Cm6', 'Fm', 'G', 'Cm7', 'Cm6', 'Fm', 'G', 'Cm7', 'Cm6', 'Fm', 'G', 'Cm7', 'Cm6', 'Fm', 'G', 'Cm7', 'Cm6', 'Csus2', 'Csus4', 'Fm', 'G', 'Cm7', 'Cm6', 'Csus2', 'Csus4', 'Fm', 'G', 'Cm7', 'Cm6', 'Csus2', 'Csus4', 'Fm', 'G', 'Cm7', 'Cm6', 'Csus2', 'Csus4', 'Fm', 'G', 'Cm7', 'Cm6', 'Fm', 'G', 'Cm7', 'Cm6', 'Fm', 'G', 'Cm7', 'Cm6', 'Fm', 'G', 'Cm7', 'Cm6', 'Fm', 'G', 'Cm7', 'Cm6', 'Fm', 'G', 'Cm7', 'Cm6', 'G', 'Cm7', 'Cm6', 'Csus2', 'Csus4', 'Fm', 'G', 'Cm7', 'Cm6', 'Csus2', 'Csus4', 'Fm', 'G', 'Cm7', 'Cm6', 'Csus2', 'Csus4', 'Fm', 'G', 'Cm7', 'Cm6', 'Csus2', 'Csus4', 'Fm', 'G', 'Cm7', 'Cm6', 'Csus2', 'Csus4', 'Fm', 'G', 'Cm7', 'Cm6', 'Csus2', 'Csus4', 'Fm', 'G', 'Cm7', 'Cm6', 'Csus2', 'Csus4', 'Fm', 'G', 'Cm7', 'Cm6', 'Csus2', 'Csus4', 'Fm', 'G', 'Cm7', 'Cm6', 'Csus2', 'Csus4', 'Fm', 'G', 'Cm7', 'Cm6', 'Csus2', 'Csus4', 'Fm', 'G', 'Cm7', 'Cm6', 'Csus2', 'Csus4', 'Fm']"
9,Old School,Aaliyah,https://tabs.ultimate-guitar.com/tab/aaliyah/old-school-chords-2052903,"Here's the old school, with the new school
Here's the old school, with the new school
Here's the old school, with the new school
Here's the old school, with the new school
R. Kelly play me something from the old school
R. Kelly play me something from the old school
R. Kelly play me something from the old school
R. Kelly play me something from the old school
  Hey boy, won't you play for me
  Right now,     give me that old school beat
  I wanna hear it here (here it is), grooving all night long
  I gotta let you know you got it going on  Play it for me
R. Kelly play me something from the old school
R. Kelly play me something from the old school
R. Kelly play me something from the old school
R. Kelly play me something from the old school
  Hey boy, let me hear your song
  Yeah, play      'til the break of dawn
  Keep it right here,    grooving all night
  I gotta let you know that it feels so right   Play it for me
R. Kelly play me something from the old school
R. Kelly play me something from the old school
R. Kelly play me something from the old school
R. Kelly play me something from the old school
  Yo, back in the days I used to listen to records
  Trying to figure out how I could make my own records
  Working in restaurants, busting on dishes
  Hoping that the man upstairs respect my wishes
  Cigarette lighters, Ardig wallets, I was selling them
  'Till I met the B.H. and bust down A Capella to him
    He said you got talent and you're going places
  I'd heard that line before but what the heck, I signed the papers
  Ever since that day I drew my head high it was on
  And now I'm mixing new music with the old school songs
R. Kelly play me something from the old school
R. Kelly play me something from the old school
R. Kelly play me something from the old school
R. Kelly play me something from the old school
R. Kelly play me something from the old school
R. Kelly play me something from the old school
R. Kelly play me something from the old school
","['Am7', 'Ddim', 'Am7', 'Am', 'Am7', 'Ddim', 'Am7', 'Am', 'Fmaj7', 'E7', 'Asus4', 'Am', 'Fmaj7', 'E7', 'Am', 'Fmaj7', 'E7', 'Asus4', 'Am', 'Fmaj7', 'E7', 'Asus4', 'Am', 'Fmaj7', 'E7', 'Asus4', 'Am', 'Fmaj7', 'E7', 'Asus4', 'Am', 'Fmaj7', 'E7', 'Asus4', 'Am', 'Fmaj7', 'E7', 'Asus4', 'Am', 'Fmaj7', 'E7', 'Asus4', 'Am', 'Fmaj7', 'E7', 'Am', 'Fmaj7', 'E7', 'Asus4', 'Am', 'Fmaj7', 'E7', 'Asus4', 'Am', 'Fmaj7', 'E', 'Asus4', 'Am', 'Fmaj7', 'E', 'Asus4', 'Am', 'Fmaj7', 'E', 'Asus4', 'Am', 'Fmaj7', 'E', 'Asus4', 'Am', 'Fmaj7', 'E7', 'Asus4', 'Am', 'Fmaj7', 'E7', 'Am', 'Fmaj7', 'E7', 'Asus4', 'Am', 'Fmaj7', 'E7', 'Asus4', 'Am', 'F', 'E7', 'Asus4', 'Am', 'F', 'E7', 'Asus4', 'Am', 'F', 'E7', 'Asus4', 'F', 'E7', 'Asus4', 'Am', 'F', 'E7', 'Asus4', 'Fmaj7', 'E7', 'Asus4', 'Am', 'Fmaj7', 'E7', 'Am', 'Fmaj7', 'E7', 'Asus4', 'Am', 'Fmaj7', 'E7', 'Asus4', 'Am', 'Fmaj7', 'E7', 'Asus4', 'Am', 'Fmaj7', 'E7', 'Am', 'Fmaj7', 'E7', 'Asus4', 'Am']"
