,name,author,link,lyrics,chords
0,Comfortably Numb (ver 2),Pink Floyd,https://tabs.ultimate-guitar.com/tab/pink-floyd/comfortably-numb-chords-1087215,"Hello,
is there anybody in there? 
Just nod if you can hear me;
is there anyone home? 
I hear you're feeling down.
Well, I can ease your pain;
get you on your feet again.
I need some information first.
Just the basic facts:
can you show me where it hurts? 
There is no pain, you are receding.
A distant ships smoke on the horizon.
You are only coming through in waves.
Your lips move but I can't hear what you re saying.
When I was a child I had a fever.
My hands felt just like two balloons.
Now I got that feeling once again;
I can't explain, you would not understand.
This is not how I am.
I  have become, comfortably numb.
I  have become, comfortably numb.
Ok, (ok)
just a little pinprick. 
There'll be no more --aaaaaahhhhh!
But you may feel a little sick.
I do believe it's working good.
That'll keep you going for the show.
Come on it's time to go.
There is no pain, you are receding.
A distant ship's smoke on the horizon.
You are only coming through in waves.
Your lips move but I can't hear what you're saying.
When I was a child I caught a fleeting glimpse,
out of the corner of my eye.
I turned to look but it was gone.
I cannot put my finger on it now.
The child is grown, the dream is gone.
I  have become, comfortably numb.
","['Bm', 'A', 'G', 'Em', 'Bm', 'A', 'G', 'Em', 'Bm', 'A', 'G', 'Em', 'Bm', 'D', 'A', 'D', 'A', 'C', 'G', 'C', 'G', 'D', 'A', 'D', 'A', 'C', 'G', 'C', 'G', 'A', 'C', 'G', 'D', 'A', 'C', 'G', 'D', 'Bm', 'A', 'G', 'Em', 'Bm', 'A', 'G', 'Em', 'Bm', 'D', 'A', 'D', 'A', 'C', 'G', 'C', 'G', 'D', 'A', 'D', 'A', 'C', 'G', 'C', 'G', 'A', 'C', 'G', 'D']"
1,Take It To The Limit (ver 2),Eagles,https://tabs.ultimate-guitar.com/tab/eagles/take-it-to-the-limit-chords-136452,"All alone at the end of the evening
and the bright lights have faded to blue.
I was thinking 'bout a woman who might have loved me,
but I never knew.
    You know I've always been a dreamer (spend my life runnin' round)
and it's so hard to change (can't seem to settle down)
but the dreams I've seen lately   keep on turnin' out
and burnin' out and turnin' out the sa - me.
So put me on a highway and show me a sign
and take it to the limit one more   time.
You can spend all your time making money,
Or you can spend all your love making time.
If it all fell to pieces tomorrow
would you still be mine?
    And when you're looking for your freedom (nobody seems to care)
And you can't find the door (can't find it anywhere)
when there's nothing to believe in   still you're coming back,
you're running back, you're coming back for mo - re.
So put me on a highway and show me a sign
and take it to the limit one more time.
     Take it to the limit, take it to the limit,
take it to the limit one more  time.  :|
","['G', 'C', 'G', 'C', 'G', 'B7', 'Em', 'D', 'D/C', 'G/B', 'D/A', 'G', 'C', 'C', 'G', 'C', 'C', 'Am', 'C', 'C/D', 'D', 'C/D', 'D', 'C', 'G', 'C', 'G', 'C', 'D', 'G', 'G', 'C', 'G', 'C', 'G', 'B7', 'Em', 'D', 'D/C', 'G/B', 'D/A', 'G', 'C', 'G', 'C', 'C', 'Am', 'C', 'C', 'C/D', 'D', 'C/D', 'D', 'C', 'G', 'C', 'G', 'C', 'D', 'Em', 'C', 'D', 'C', 'D', 'C', 'D', 'G']"
2,Ramblin Man (ver 6),The Allman Brothers Band,https://tabs.ultimate-guitar.com/tab/the-allman-brothers-band/ramblin-man-chords-1916057,"Lord, I was born a ramblin' man
Trying to make a living and doing the best I can
But when it's time for leavin', I hope you'll understand
That I was born a ramblin' man
My father was a gambler down in Georgia
And he wound up on the wrong end of a gun
And I was born in the back seat of a Greyhound bus
Rolling down highway forty-one
Lord, I was born a ramblin' man
Trying to make a living and doing the best I can
But when it's time for leavin', I hope you'll understand
That I was born a ramblin' man
I'm on my way to New Orleans this morning
Leaving out of Nashville, Tennessee
They're always having a good time down on the Bayou, Lord
Them delta women think the world of me.
Lord, I was born a ramblin' man
Trying to make a living and doing the best I can
But when it's time for leavin', I hope you'll understand
That I was born a ramblin' man
Lord, I was born a ramblin' man  4x     
","['G', 'F', 'G', 'C', 'D', 'C', 'G', 'Em', 'C', 'G', 'D', 'G', 'G', 'C', 'G', 'C', 'D', 'C', 'G', 'Em', 'C', 'G', 'D', 'G', 'G', 'F', 'G', 'C', 'D', 'C', 'G', 'Em', 'C', 'G', 'D', 'G', 'G', 'C', 'G', 'C', 'D', 'C', 'G', 'Em', 'C', 'G', 'D', 'G', 'G', 'F', 'G', 'C', 'D', 'C', 'G', 'Em', 'C', 'G', 'D', 'G', 'G', 'F', 'G']"
3,Love Hurts,Nazareth,https://tabs.ultimate-guitar.com/tab/nazareth/love-hurts-chords-1464807,"Love hurts, love scars, love wounds and mars
Any   heart, not tough or strong enough
To take a lot of pain, take a lot of pain
Love is like a cloud, it holds a lot of rain
Love  hurts, ooh hoo love hurts
I'm young, I know, but even so
I know a thing or two, I learned from you
I really learned a lot, really learned a lot
Love is like a flame, it burns you when it's hot
Love  hurts, ooh hoo love hurts
Some fools think of happiness, blissfulness, togetherness
Some fools, fool themselves, I guess
They're not foolin' me
I know it isn't true, I know it isn't true
Love is just a lie made to make you blue
Love  hurts, ooh hoo love hurts
ooh hoo love hurts
I know it isn't true, I know it isn't true
Love is just a lie made to make you blue
Love  hurts, ooh hoo love hurts
Ooh ooh love hurts, ooh ooh
","['G', 'Em', 'C', 'D', 'Cadd9', 'G', 'Em', 'C', 'D', 'Cadd9', 'G', 'B', 'Em', 'B', 'C', 'D', 'Cadd9', 'G', 'F', 'C', 'G', 'G', 'Em', 'C', 'D', 'Cadd9', 'G', 'Em', 'C', 'D', 'Cadd9', 'G', 'B', 'Em', 'B', 'C', 'D', 'Cadd9', 'G', 'F', 'C', 'G', 'Em', 'B', 'Em', 'B', 'Em', 'B', 'Em', 'A', 'A', 'D', 'Cadd9', 'G', 'B', 'Em', 'B', 'C', 'D', 'Cadd9', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'Cadd9', 'G', 'B', 'Em', 'B', 'C', 'D', 'Cadd9', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C']"
4,Ohio,Neil Young,https://tabs.ultimate-guitar.com/tab/neil-young/ohio-chords-88516,"Gm7- 353333
Tin soldiers and Nixon's coming we're finally on our own
this summer I hear the drumming four dead in Ohio
Gotta get down to it soldiers are gunning us down
should of been done long ago
what if you knew her and found her dead on the ground
how can you run when you know?
La la la la  la la la la  la la la la  la la la
la la la la  la la la la  la la la     la la la
Gotta get down to it soldiers are gunning us down
should of been done long ago
what if you knew her and found her dead on the ground
how can you run when you know?
Tin soldiers and Nixon's coming we're finally on our own
this summer I hear the drumming four dead in Ohio
four dead in Ohio
four dead in Ohio
four dead in Ohio
four dead in Ohio
four dead in Ohio
four dead in Ohio
four dead in Ohio
four dead in Ohio
four dead in Ohio
four dead in Ohio
","['C', 'Dm', 'F', 'C', 'Dm', 'F', 'C', 'Dm', 'F', 'C', 'Dm', 'F', 'C', 'Gm7', 'C', 'Gm7', 'C', 'Gm7', 'C', 'Gm7', 'C', 'Dm', 'F', 'C', 'Dm', 'F', 'C', 'Dm', 'F', 'C', 'Dm', 'F', 'C', 'Gm7', 'C', 'Gm7', 'C', 'Gm7', 'C', 'Gm7', 'C', 'Dm', 'F', 'C', 'Dm', 'F', 'C', 'Dm', 'F', 'C', 'Dm', 'F', 'C', 'Dm', 'F', 'C', 'Dm', 'F', 'C', 'Dm', 'F', 'C', 'Dm', 'F', 'C', 'Dm', 'F', 'C', 'Dm', 'F', 'C', 'Dm', 'F', 'C', 'Dm', 'F', 'C', 'Dm', 'F', 'C', 'Dm', 'F', 'C']"
5,Come Monday (ver 4),Jimmy Buffett,https://tabs.ultimate-guitar.com/tab/jimmy-buffett/come-monday-chords-1087225,"Headin' up to San Francisco, 
for the Labor Day weekend show 
I've got my Hush Puppies on, 
I guess I never was meant for glitter rock and roll 
And honey I didn't know, 
that I'd be missing you so 
Come Monday, it'll be all right; 
come Monday, I'll be holding you tight 
I spent four lonely days in a brown L. A. haze, 
and I just want you back by my side 
Yes, it's been quite a summer, 
rent-a-cars and west-bound trains 
And now you're off on vacation, 
something you tried to explain 
And Darlin' it's I love you so, 
that's the reason I just let you go
Come Monday, it'll be all right; 
come Monday, I'll be holding you tight 
I spent four lonely days in a brown L. A. haze, 
and I just want you back by my side 
I can't help it honey, 
you're that much a part of me now 
Remember that night in Montana, 
when we said there'd be no room for doubt? 
I hope you're enjoying the scen'ry,
I know that it's pretty up there
We can go hiking on Tuesday, 
with you I'd walk anywhere 
California has worn me quite thin, 
I just can't wait to see you again 
Come Monday, it'll be all right; 
come Monday, I'll be holding you tight 
I spent four lonely days in a brown L. A. haze, 
and I just want you back by my side 
I spent four lonely days in a brown L. A. haze, 
and I just want you back by my side 
","['G', 'C', 'D', 'G', 'C', 'D', 'G', 'Am', 'C', 'D', 'C', 'G', 'C', 'D', 'G', 'Bm', 'C', 'D', 'C', 'D', 'G', 'G', 'C', 'D', 'G', 'C', 'D', 'G', 'Am', 'C', 'D', 'C', 'G', 'C', 'D', 'G', 'Bm', 'C', 'D', 'C', 'D', 'G', 'Amaj7', 'Dmaj7', 'Amaj7', 'Dmaj7', 'Amaj7', 'Dmaj7', 'C', 'D', 'F', 'C', 'G', 'G', 'C', 'D', 'G', 'C', 'D', 'G', 'Am', 'C', 'D', 'C', 'G', 'C', 'D', 'G', 'Bm', 'C', 'D', 'C', 'D', 'G', 'G', 'Bm', 'C', 'D', 'C', 'D', 'F', 'C', 'G']"
6,Go Your Own Way (ver 2),Fleetwood Mac,https://tabs.ultimate-guitar.com/tab/fleetwood-mac/go-your-own-way-chords-1087275,"Loving you,
isn't the right thing to do
  How can I ever change things
that I feel?
baby I'd give you my world
  How can I,
when you won't take it from me?
  You can go your own way
(Go your own way)
You can call it
Another lonely day
  You can go your own way
Go your own way
Tell me why,
everything turned around?
  Packing up,
shacking up is all you wanna do
baby I'd give you my world
  Open up,
everything's waiting for you
  You can go your own way
(Go your own way)
You can call it
Another lonely day
  You can go your own way
Go your own way
  You can go your own way
(Go your own way)
You can call it
Another lonely day
  You can go your own way
(Go your own way)
You can call it
Another lonely day. . .
  You can go your own way
  You can call it
Another lonely day
  You can go your own way . . .
","['D', 'A', 'G', 'D', 'Dsus2', 'D', 'A', 'G', 'D', 'Bm', 'G', 'A', 'Bm', 'G', 'A', 'Bm', 'G', 'A', 'D', 'D', 'A', 'G', 'D', 'Dsus2', 'D', 'A', 'G', 'D', 'Bm', 'G', 'A', 'Bm', 'G', 'A', 'Bm', 'G', 'A', 'D', 'D', 'Bm', 'G', 'A', 'Bm', 'G', 'A', 'Bm', 'G', 'A', 'Bm', 'G', 'A', 'Bm', 'G', 'A', 'Bm', 'G', 'A', 'Bm', 'G', 'A']"
7,Lola,The Kinks,https://tabs.ultimate-guitar.com/tab/the-kinks/lola-chords-48159,"I met her in a club down in old Soho
where you drink champagne and it tastes just like coca cola
C-O-L-A, cola
She walked up to me and she asked me to dance
I asked her her name and in a dark brown voice she said Lola
L-O-L-A, Lola,   Lo lo lo lo lola
Well I'm not the worlds most physical guy
but when she squeezed me tight
she nearly broke my spine, oh my Lola
Lo lo lo lo Lola
Well I'm not dumb but I can't understand
why she walked like a woman and talked like a man
oh my Lola
Lo lo lo lo Lola     Lo lo lo lo Lola
Well we drank champagne and danced all night
under electric candlelight
She picked me up and sat me on her knee
Well I'm not the world's most passionate guy
but when I looked in her eye, well I almost fell for my Lola
Lo lo lo lo Lola   Lo lo lo lo Lola
Lola,   Lo lo lo lo Lola,  lo lo lo lo Lola
I pushed her away
I walked to the door
I fell to the floor
I got down on my knees
Then I looked at her and she at me
Well that's the way that I want it to stay
and I always want it to be that way for my Lola
Lo lo lo lo Lola
Girls will be boys and boys will be girls
It's a mixed up, muddled up, shook up world except for Lola
Lo lo lo lo Lola
Well I left home just a week before
And I'd never ever kissed a woman before
Lola smiled and took me by the hand
Well I'm not the worlds most passionate man
but I know what I am and I'm glad I'm a man
and so is Lola, lo lo lo lo lola      Lo lo lo lo Lola
Lola,  lo lo lo lo Lola,   lo lo lo lo Lola
Lola,  lo lo lo lo Lola,   lo lo lo lo Lola
Lola,  lo lo lo lo Lola,   lo lo lo lo Lola
Lola......yeah, you get the picture. play lots and fade out...
","['E', 'A', 'D', 'E', 'A', 'Asus4', 'A', 'E', 'A', 'D', 'E', 'A', 'D', 'C', 'C', 'D', 'E', 'E', 'A', 'D', 'E', 'A', 'Asus4', 'A', 'E', 'A', 'D', 'E', 'A', 'D', 'C', 'C', 'D', 'E', 'F', 'B', 'F#', 'A', 'E', 'A', 'D', 'E', 'A', 'D', 'C', 'C', 'D', 'E', 'A', 'D', 'C', 'C', 'D', 'E', 'F', 'A', 'C#m', 'B', 'A', 'C#m', 'B', 'A', 'C#m', 'B', 'E', 'G#m', 'C#m', 'B', 'E', 'A', 'D', 'E', 'A', 'Asus4', 'A', 'E', 'A', 'D', 'E', 'A', 'B', 'F#', 'A', 'E', 'A', 'D', 'E', 'A', 'D', 'C', 'C', 'D', 'E', 'A', 'D', 'C', 'C', 'D', 'E', 'A', 'D', 'C', 'C', 'D', 'E', 'A', 'D', 'C', 'C', 'D', 'E']"
8,So Far Away (ver 4),Carole King,https://tabs.ultimate-guitar.com/tab/carole-king/so-far-away-chords-1187865,"So far a - way,
Doesn't anybody stay in one place any - more?
It would be so fine to see your face at my  door,
It doesn't help to know you're just...     time a - way,
Long ago I reached for you, and...     there you stood,
Holding you a - gain could only do    me---   good,
How I wish I could, but you're so...
      ...far a - way!  |  /   /   /   /  |
One more song about moving along the highway,
         Can't say much of anything that's new,
If I could only work this life out---- my way,
I'd rather spend it being close to you------...
...But you're so      ...far a - way,
Doesn't anybody stay in one place any - more?
It would be so fine to see your face at my  door,
It doesn't help to know you're so...     far a - way,
      Yeah - eah, you're so...   far a - way! | /  /  /  / |
Traveling around sure gets me down and lonely,
Nothing else to do,    ...but close my mind,
I sure hope the road don't come to  ...own me,
There's so many dreams I've yet to find-----
    ...But you're so     ...far a - way,
Doesn't anybody stay in one place any - more?
It would be...   so fine to see your face at my  door,
And it doesn't help to know you're so...     far a - way,
      Yeah - eah, you're so...      far a - way,
    Hey,     you're so...    far-----  a- way------!
||: /  /  /  / | /  /  /  / | /  /  /  / | /  /  /  /:||[x3]
","['Dmaj9', 'D6', 'Dmaj9', 'D6', 'Gmaj7', 'G6', 'Em7', 'G/A', 'Dmaj7', 'G/D', 'Dmaj7', 'Gmaj7', 'F#m7', 'Em7', 'G/A', 'Dmaj9', 'D6', 'Dmaj9', 'D6', 'Gmaj7', 'G6', 'Em7', 'G/A', 'Dmaj7', 'G/D', 'Dmaj7', 'Gmaj7', 'F#m7', 'Em7', 'G/A', 'Dmaj9', 'D6', 'Dmaj9', 'D', 'A/C#', 'Bm', 'A6', 'G', 'G', 'D/F#', 'Em7', 'G/A', 'Dmaj7', 'F#m', 'F#m7', 'Em7', 'G/A', 'Bm', 'Em7', 'G/A', 'Dmaj9', 'D6', 'Dmaj9', 'D6', 'Gmaj7', 'G6', 'Em7', 'G/A', 'Dmaj7', 'G/D', 'Dmaj7', 'Gmaj7', 'F#m7', 'Em7', 'G/A', 'Dmaj9', 'D6', 'Dmaj9', 'D6', 'Gmaj7', 'G6', 'Em7', 'G/A', 'G/A', 'A6', 'G/A', 'Em7', 'G/A', 'Dmaj7', 'F#m7', 'Em7', 'G/A', 'Bm', 'Em7', 'G/A', 'Dmaj9', 'D6', 'Dmaj9', 'D6', 'Gmaj7', 'G6', 'Em7', 'G/A', 'Dmaj7', 'G/D', 'Dmaj7', 'Gmaj7', 'F#m7', 'Em7', 'G/A', 'Dmaj9', 'D6', 'Dmaj9', 'D6', 'Gmaj7', 'G6', 'Em7', 'G/A', 'Dmaj9', 'D6', 'Dmaj9', 'D6', 'Gmaj7', 'G6', 'Em7', 'G/A', 'Dmaj9', 'D6', 'Dmaj9', 'D6']"
9,Telephone Line,Electric Light Orchestra,https://tabs.ultimate-guitar.com/tab/electric-light-orchestra/telephone-line-chords-139872,"Hello--how are you?
Have you been alright, through all those lonely, lonely, lonely, lonely nights,
That's what I'd say,     I'd tell you everything
  If you'd pick up that telephone.     ya ya ya  
Hey--how you feelin'
Are you still the same
Don't you realize the things we did we did were all for real not a dream
  I just can't believe
  They've all faded out of view.     Yeah Yeah  ooh            ooh ooh
  Shoo wop   doo be doo doo wop   doo wah doo lang
   Blue days      black nights     doo wah doo lang
   I look into the sky
   (The love you need ain't gonna see you through.)
   And I wonder why
   (The little things you planned ain't coming true.)
Oh  Telephone line, give me some time, I'm living in twi - light
Oh Telephone line, give me some time, I'm living in twi - light
  O.k. so no--one's answering,
Can't you just let it ring a little longer longer longer oh     wo wo
   I'll just sit tight,    through the shadows of the night
   Let it ring for evermore.   oh oh  whoa    ya ya ya
   Shoo wop doo be doo doo wop    doo wah doo lang
    Blue days     black nights   doo wah doo lang
   I look into the sky
   (The love you need ain't gonna see you through.)
   And I wonder why
  (The little things you planned ain't coming true.)
Oh Telephone line, give me some time, I'm living in twi - light
Oh Telephone line, give me some time, I'm living in twi - light
Oh Telephone line, give me some time, I'm living in twi - light
Oh Telephone line, give me some time, I'm living in twi - light
","['A', 'Amaj7', 'A7', 'Bbdim', 'Bm', 'E', 'Bm', 'C#m', 'D', 'E', 'Amaj7', 'Dmaj7', 'E', 'A', 'Amaj7', 'A7', 'Bbdim', 'Bm', 'E', 'Bm', 'C#m', 'D', 'E', 'Amaj7', 'Dmaj7', 'Amaj7', 'Dmaj7', 'E', 'A', 'F#m', 'D', 'E', 'A', 'F#m', 'D', 'E', 'A', 'F#m', 'D', 'E', 'A', 'F#m', 'D', 'E', 'A', 'F#m', 'D', 'E6', 'Ddim', 'A', 'F#m', 'D', 'E6', 'Ddim', 'G', 'A', 'A', 'Amaj7', 'A7', 'Bbdim', 'Bm', 'E', 'Bm', 'C#m', 'D', 'E', 'Amaj7', 'Dmaj7', 'Amaj7', 'Dmaj7', 'E', 'A', 'F#m', 'D', 'E', 'A', 'F#m', 'D', 'E', 'A', 'F#m', 'D', 'E', 'A', 'F#m', 'D', 'E', 'A', 'F#m', 'D', 'E6', 'Ddim', 'A', 'F#m', 'D', 'E6', 'Ddim', 'A', 'F#m', 'D', 'E6', 'Ddim', 'A', 'F#m', 'D', 'E6', 'Ddim']"
